# Model Verification Tasks - Generated Fri Jan  2 12:29:22 IST 2026
# Total models: 1001
#
# Each line is a task for a droid to verify a model's Couchbase functionality
# Format: MODEL_NAME|MODEL_PATH|TABLE_NAME
#
Address|models/Address.php|core
AddressType|models/AddressType.php|address_type
Allergy|models/Allergy.php|reference
AnaestheticAgent|models/AnaestheticAgent.php|anaesthetic_agent
AnaestheticComplication|models/AnaestheticComplication.php|anaesthetic_complication
AnaestheticDelivery|models/AnaestheticDelivery.php|anaesthetic_delivery
AnaestheticType|models/AnaestheticType.php|anaesthetic_type
Anaesthetist|models/Anaesthetist.php|anaesthetist
ArchiveMedication|models/ArchiveMedication.php|archive_medication
ArchivePatientIdentifier|models/ArchivePatientIdentifier.php|archive_patient_identifier
Audit|models/Audit.php|audit
AuditAction|models/AuditAction.php|audit_action
AuditIPAddr|models/AuditIPAddr.php|audit_ipaddr
AuditModel|models/AuditModel.php|audit_model
AuditModule|models/AuditModule.php|audit_module
AuditServer|models/AuditServer.php|audit_server
AuditTrail|models/AuditTrail.php|tbl_audit_trail
AuditType|models/AuditType.php|audit_type
AuditUseragent|models/AuditUseragent.php|audit_useragent
AuthAssignment|models/AuthAssignment.php|authassignment
AuthItem|models/AuthItem.php|authitem
Benefit|models/Benefit.php|benefit
CommissioningBody|models/CommissioningBody.php|commissioning_body
CommissioningBodyPatientAssignment|models/CommissioningBodyPatientAssignment.php|commissioning_body_patient_assignment
CommissioningBodyPracticeAssignment|models/CommissioningBodyPracticeAssignment.php|commissioning_body_practice_assignment
CommissioningBodyService|models/CommissioningBodyService.php|commissioning_body_service
CommissioningBodyServiceType|models/CommissioningBodyServiceType.php|commissioning_body_service_type
CommissioningBodyType|models/CommissioningBodyType.php|commissioning_body_type
CommonMedications|models/CommonMedications.php|medication_common
CommonOphthalmicDisorder|models/CommonOphthalmicDisorder.php|common_ophthalmic_disorder
CommonOphthalmicDisorderGroup|models/CommonOphthalmicDisorderGroup.php|common_ophthalmic_disorder_group
CommonPreviousOperation|models/CommonPreviousOperation.php|common_previous_operation_id
CommonPreviousOperation_Institution|models/CommonPreviousOperation_Institution.php|common_previous_operation_institution
CommonPreviousSystemicOperation|models/CommonPreviousSystemicOperation.php|common_previous_systemic_operation_id
CommonPreviousSystemicOperation_Institution|models/CommonPreviousSystemicOperation_Institution.php|common_previous_systemic_operation_institution
CommonSystemicDisorder|models/CommonSystemicDisorder.php|common_systemic_disorder
CommonSystemicDisorderGroup|models/CommonSystemicDisorderGroup.php|common_systemic_disorder_group
Complication|models/Complication.php|complication
Contact|models/Contact.php|core
ContactLabel|models/ContactLabel.php|contact_label
ContactLocation|models/ContactLocation.php|contact_location
ContactMetadata|models/ContactMetadata.php|contact_metadata
ContactPracticeAssociate|models/ContactPracticeAssociate.php|contact_practice_associate
Country|models/Country.php|reference
DeletedEpisode|models/DeletedEpisode.php|
DeletedEvent|models/DeletedEvent.php|
DicomFileLog|models/DicomFileLog.php|dicom_file_log
DicomFiles|models/DicomFiles.php|dicom_files
Disorder|models/Disorder.php|disorder
DoctorGrade|models/DoctorGrade.php|reference
DocumentInstance|models/DocumentInstance.php|document_instance
DocumentInstanceData|models/DocumentInstanceData.php|document_instance_data
DocumentLog|models/DocumentLog.php|document_log
DocumentOutput|models/DocumentOutput.php|document_output
DocumentSet|models/DocumentSet.php|document_set
DocumentTarget|models/DocumentTarget.php|document_target
DrawingTemplate|models/DrawingTemplate.php|drawing_templates
Drug|models/Drug.php|reference
ElementGroup|models/ElementGroup.php|element_group
ElementType|models/ElementType.php|reference
Episode|models/Episode.php|episode
EpisodeStatus|models/EpisodeStatus.php|episode_status
EpisodeSummaryItem|models/EpisodeSummaryItem.php|episode_summary_item
EthnicGroup|models/EthnicGroup.php|reference
Event|models/Event.php|event
EventDraft|models/EventDraft.php|event_draft
EventGroup|models/EventGroup.php|reference
EventIcon|models/EventIcon.php|event_icon
EventImage|models/EventImage.php|event_image
EventImageStatus|models/EventImageStatus.php|event_image_status
EventIssue|models/EventIssue.php|event_issue
EventMedicationUse|models/EventMedicationUse.php|event_medication_use
EventSubTypeItem|models/EventSubTypeItem.php|event_subtype_item
EventSubtype|models/EventSubtype.php|event_subtype
EventSubtypeElementEntry|models/EventSubtypeElementEntry.php|event_subtype_element_entries
EventTemplate|models/EventTemplate.php|event_template_id
EventTemplateUser|models/EventTemplateUser.php|event_template_user
EventType|models/EventType.php|reference
Eye|models/Eye.php|reference
EyedrawTag|models/EyedrawTag.php|eyedraw_tag
Finding|models/Finding.php|finding
Firm|models/Firm.php|core
FirmUserAssignment|models/FirmUserAssignment.php|firm_user_assignment
FollowupAnalysisAggregate|models/FollowupAnalysisAggregate.php|followup_analysis_aggregate
Gender|models/Gender.php|reference
Gp|models/Gp.php|gp
IMDImport|models/IMDImport.php|imd_import
Icons|models/Icons.php|icons
Import|models/Import.php|import
ImportLog|models/ImportLog.php|import_log
ImportSource|models/ImportSource.php|import_source
ImportStatus|models/ImportStatus.php|import_status
Institution|models/Institution.php|core
InstitutionAuthentication|models/InstitutionAuthentication.php|institution_authentication
Issue|models/Issue.php|issue
LDAPConfig|models/LDAPConfig.php|ldap_config
LSOAToIMDMapping|models/LSOAToIMDMapping.php|lsoa_to_imd_mapping
Language|models/Language.php|language
MeasurementReference|models/MeasurementReference.php|measurement_reference
MeasurementType|models/MeasurementType.php|measurement_type
MediaData|models/MediaData.php|media_data
MediaType|models/MediaType.php|media_type
Medication|models/Medication.php|medication
MedicationAdherence|models/MedicationAdherence.php|archive_medication_adherence
MedicationAdherenceLevel|models/MedicationAdherenceLevel.php|medication_adherence_level
MedicationAllergyAssignment|models/MedicationAllergyAssignment.php|medication_allergy_assignment
MedicationAttribute|models/MedicationAttribute.php|medication_attribute
MedicationAttributeAssignment|models/MedicationAttributeAssignment.php|medication_attribute_assignment
MedicationAttributeOption|models/MedicationAttributeOption.php|medication_attribute_option
MedicationDrug|models/MedicationDrug.php|medication_drug
MedicationDuration|models/MedicationDuration.php|medication_duration
MedicationForm|models/MedicationForm.php|medication_form
MedicationFrequency|models/MedicationFrequency.php|medication_frequency
MedicationLaterality|models/MedicationLaterality.php|medication_laterality
MedicationRoute|models/MedicationRoute.php|medication_route
MedicationSearchIndex|models/MedicationSearchIndex.php|medication_search_index
MedicationSet|models/MedicationSet.php|medication_set
MedicationSetAutoRuleAttribute|models/MedicationSetAutoRuleAttribute.php|medication_set_auto_rule_attribute
MedicationSetAutoRuleMedication|models/MedicationSetAutoRuleMedication.php|medication_set_auto_rule_medication
MedicationSetAutoRuleMedicationTaper|models/MedicationSetAutoRuleMedicationTaper.php|medication_set_auto_rule_medication_taper
MedicationSetAutoRuleSetMembership|models/MedicationSetAutoRuleSetMembership.php|medication_set_auto_rule_set_membership
MedicationSetItem|models/MedicationSetItem.php|medication_set_item
MedicationSetItemTaper|models/MedicationSetItemTaper.php|medication_set_item_taper
MedicationSetRule|models/MedicationSetRule.php|medication_set_rule
MedicationUsageCode|models/MedicationUsageCode.php|medication_usage_code
Medication_Institution|models/Medication_Institution.php|medication_institution
NSCGrade|models/NSCGrade.php|nsc_grade
OPCSCode|models/OPCSCode.php|opcs_code
OescapeSummaryItem|models/OescapeSummaryItem.php|oescape_summary_item
OperativeDevice|models/OperativeDevice.php|operative_device
OphCiExaminationRiskTag|models/OphCiExaminationRiskTag.php|ophciexamination_risk_tag
PDFFooterTag|models/PDFFooterTag.php|pdf_footer_tag
Pathway|models/Pathway.php|pathway
PathwayComment|models/PathwayComment.php|pathway_comment
PathwayStep|models/PathwayStep.php|pathway_step
PathwayStepComment|models/PathwayStepComment.php|pathway_step_comment
PathwayStepType|models/PathwayStepType.php|pathway_step_type_id
PathwayStepTypePresetAssignment|models/PathwayStepTypePresetAssignment.php|pathway_step_type_preset_assignment
PathwayStepType_Institution|models/PathwayStepType_Institution.php|pathway_step_type_institution
PathwayType|models/PathwayType.php|pathway_type
PathwayTypeStep|models/PathwayTypeStep.php|pathway_type_step
Patient|models/Patient.php|patient
